,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,0.3333333333333333,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4,0.4,0.4
1,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.0
2,0.5,0.5,0.5,0.3333333333333333,0.5714285714285714,0.4,0.4,0.4,0.4,0.4
3,0.8,0.0,0.8,0.6666666666666666,0.75,0.6666666666666666,0.75,0.4444444444444444,0.5714285714285714,0.6
4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
5,0.8,0.0,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666
6,0.5,0.5,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0
7,0.4,0.4,0.4,0.4,0.3333333333333333,0.5,0.4,0.4,0.4,0.3333333333333333
8,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
9,0.5,0.5,0.5,0.8,1.0,0.5,0.8,0.5,0.5,0.8
10,0.8,0.0,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.8
11,1.0,0.0,0.8,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.6666666666666666
12,0.4,0.4,0.4,0.4,0.4,0.4,0.3333333333333333,0.4,0.4,0.4
13,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4
14,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0,0.0,0.5
15,0.8,0.0,0.5,0.5,0.5,0.6666666666666666,0.4,0.5,0.5,0.5
16,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.0,0.0,0.0,0.0
17,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4
18,0.6666666666666666,0.0,0.8,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
19,0.4,0.4,0.4,0.4,0.6666666666666666,0.4,0.6666666666666666,0.4,0.4,0.4
20,0.8,0.0,0.8,0.8,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666
21,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.4,0.5,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.4,0.4,0.4
25,0.6666666666666666,0.0,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6666666666666666
26,0.8,0.0,0.8,0.8,1.0,0.6666666666666666,0.8,0.8,0.8,0.8
27,0.8,0.5,0.5,0.4,0.3333333333333333,0.5714285714285714,0.4,0.5714285714285714,0.3333333333333333,0.3333333333333333
28,0.5,0.5,0.4,0.5,0.6666666666666666,0.4,0.5,0.4,0.4,0.4
29,0.8,0.0,0.8,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
