,Logistic,KNN,SVM,RF,ExT,Ada,Grad,XGB,CatB,MLP
0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.8,0.0,0.5,0.5,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.8,0.5,0.8
2,0.8,0.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.0,0.6666666666666666,0.6666666666666666
5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0
6,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
7,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,1.0
11,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
17,0.5,0.0,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
19,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
20,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,0.6666666666666666,0.0,0.8,0.5714285714285714,0.75,0.5714285714285714,0.75,0.5714285714285714,0.6666666666666666,0.75
22,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
23,1.0,0.0,0.6666666666666666,0.6666666666666666,0.8,1.0,1.0,1.0,0.6666666666666666,1.0
24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.4,0.0,0.5,0.5,0.4,0.3333333333333333,0.4,0.4,0.5,0.5
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
