pChEMBL Value,Canomicalsmiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
8.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,4,6,8,8,6,4,2,5,0,2,2,4,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,4,0,4,12,18,20,18,14,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,4,4,4,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,8,12,12,4,0,0,0,10,22,28,24,12,4,0,0,0,0
7.89,C/C=C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C)C(C)C)c1ccccc1,5,0,4,0,4,4,2,0,0,4,4,0,8,2,10,6,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0,0,0,1,8,14,14,10,10,4,4,4,8,7,0,4,2,8,6,6,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,0,2,0,0,4,12,18,18,20,16,14,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,4,2,11,22,22,6,0,0,0,2,8,16
7.85,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(NC)C(=O)[C@H]1C)C(C)C)c1ccccc1,5,0,0,4,4,2,4,0,0,2,5,0,4,6,8,6,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,6,14,18,10,10,4,4,4,6,8,0,4,6,8,8,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,0,2,0,0,6,16,22,18,20,16,14,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,4,2,11,22,22,6,0,0,0,2,8,16
7.75,Cc1cc(-c2ccc3ccn(CC(=O)Nc4cccnc4)c(=O)c3c2)ccc1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,5,0,0,4,4,2,2,0,0,0,5,0,2,14,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,10,16,18,16,14,10,0,4,14,8,12,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,16,24,28,28,36,40,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,48,60,52,36,36,38,38,32,26
7.6,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(C)C(=O)[C@H]1C)C(C)C)c1ccccc1,4,0,0,0,4,2,2,0,0,2,4,0,4,2,8,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,4,10,14,10,10,4,4,4,6,7,0,4,2,8,6,6,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,0,2,0,0,4,12,18,18,20,16,14,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,4,2,11,22,22,6,0,0,0,2,8,16
7.52,CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNC(=O)/C=C/c4c(C)[nH]c(=O)[nH]c4=O)cc3)c(F)c2)C(=O)O1,4,0,2,0,0,0,4,0,0,0,2,0,10,2,4,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,6,8,10,10,10,12,9,0,10,2,4,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,20,24,26,26,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,38,44,34,20,16,10,10,16,20
7.52,CC(=O)NC[C@H]1CN(c2ccc(/C=C/CCCNC(=O)/C=C/c3c(C)[nH]c(=O)[nH]c3=O)c(F)c2)C(=O)O1,4,0,2,0,0,0,4,0,0,0,2,0,10,2,4,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,4,4,2,8,6,4,2,6,10,10,6,2,9,0,10,2,4,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,2,2,2,2,0,2,4,6,0,6,12,16,18,18,18,14,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4,4,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,6,8,8,8,8,6,12,24,24,12,0,0,0,0,0,0
7.48,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(N(C)C)C(=O)[C@H]1C)C(C)C)c1ccccc1,4,0,0,0,4,2,2,0,0,2,4,0,4,6,8,4,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,4,10,14,10,10,4,4,4,6,8,0,4,6,8,8,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,0,2,0,0,6,16,22,18,20,16,14,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,4,2,11,22,22,6,0,0,0,2,8,16
7.43,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1ccc(-c2ccccc2)cc1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,5,0,4,0,4,4,2,0,0,4,4,0,8,2,10,6,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0,0,0,1,8,14,14,12,14,8,6,8,16,7,0,4,2,8,6,6,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,0,2,0,0,4,12,18,22,28,24,18,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,4,2,23,48,54,34,20,16,10,12,24,36
7.4,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,2,0,0,0,0,0,2,0,0,0,2,0,2,2,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,0,0,0,0,0,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
